Homeric,Paraphrase,Examples
ἀλλὰ,ἀλλὰ,15.95
ἀλλὰ,ἀλλὰ,15.194
ἀλλ᾽,ἀλλὰ,15.178
ἀλλὰ,,15.208
ἀλλ᾽ εἰ δή ῥ᾽,ἀλλ' ἐὰν δὴ,15.53
ἀλλ' ἤτοι νῦν μέν κε,,15.211
ἀλλά που,ἀλλά,15.43
ἂν,ἂν,15.23
ἄρα,δὴ,15.149
αὐτὰρ ἐπεὶ,ἐπειδὴ δὲ,15.1
αὐτὰρ,δὲ,15.61
αὐτὰρ,δὲ ,15.113
αὐτὰρ,δὲ,15.134 
αὐτάρ...καὶ,δὲ καὶ,15.45
αὖτε,πάλιν,15.16
αὖτε,πάλιν,15.29
αὖτε,πάλιν,15.31
αὖτε,,15.205
γὰρ,γὰρ,15.88
γὰρ,γὰρ,15.107 
γάρ,γάρ,15.111
γὰρ,γὰρ,15.135
γάρ,,15.197
γάρ,γάρ,15.739
γάρ,δὲ,15.610
γὰρ δή,,15.201
γάρ τ᾽,γάρ,15.187
γε καὶ,καὶ,15.53
δὲ,δὲ,15.2
δὲ,δὲ,15.4
δὲ,δὲ,15.6
δὲ,δὲ,15.7
δὲ,δὲ,15.8
δὲ,δὲ,15.9
δὲ,δὲ,15.9
δὲ,δὲ,15.10
δὲ,δὲ,15.12
δὲ,δὲ καὶ,15.13
δὲ,καὶ,15.15
δὲ,δὲ,15.18
δὲ,δὲ,15.19
δὲ,δὲ,15.20
δὲ,δὲ,15.21
δὲ,δὲ,15.22
δ',δὲ,15.22
δὲ,δὲ,15.24
δὲ,δὲ,15.34
δ᾽,δὲ,15.42
δὲ,δὲ,15.47
δ᾽ ,δὲ,15.59
δ᾽,δὲ,15.60
δ᾽,δὲ,15.63
δ᾽,δὲ,15.64
δὲ,δὲ,15.65
δ',δὲ,15.67
δὲ,δὲ,15.68
δὲ,δὲ,15.79
δ',δὲ,15.84
δὲ,δὲ,15.85
δ',δὲ,15.87
δὲ,δὲ,15.87
δὲ,δὲ,15.90
δ',δὲ,15.92
δ᾽,δὲ,15.101
δ᾽,δὲ,15.101
δὲ,δὲ,15.103
δ᾽,δὲ,15.106
δ᾽,δὲ,15.114
δ᾽,δὲ,15.120
δὲ,δὲ,15.124
δ᾽,δὲ,15.125
δ᾽,δὲ,15.126
δ᾽,δὲ,15.127
δ᾽,δὲ,15.129
δ᾽,δὲ,15.136
δ᾽,δὲ,15.173
δ᾽,δὲ,15.180
δ᾽,δὲ,15.182
δὲ,δὲ,15.184
δ᾽,δὲ,15.188
δὲ,δὲ,15.189
δὲ,δὲ,15.189
δ᾽,δὲ,15.191
δ᾽,δὲ,15.192
δ',,15.200
δ' ,,15.205
δέ,,15.212
δὲ,δὲ,15.746
δὲ μή,,15.196 
δ',,15.28
δ',,15.84 
δ᾽,γὰρ,15.44
δὲ,καὶ,15.15
δ᾽,καὶ,15.60
δ',καὶ,15.75
δ' ἄν...ἔπειτα,δὴ μετα ταῦτα,15.69
δ’ ἄρ’,δὲ,15.6
δ᾽ ἔτι,δὲ ἔτι,15.193
δὲ καὶ,δὲ καὶ,15.96
δὲ καὶ,καίπερ,15.133
δ' οὔτ' ἄρ',οὐ...δὲ,15.72
δὴ νῦν,δὴ τα νῦν,15.131
εἴ,ἐάν,15.186
εἰ αὖτε,ὅτι δὴ πάλιν,15.16
εἰ δέ,ἐὰν δὲ,15.178
εἰ μὲν δὴ,ἐὰν μὲν δὴ,15.48
εἰ μὴ,ἐὰν μὴ,15.123
εἴ πέρ...ἔτι,ἐάν περ ἔτι,15.99 
εἴ πέρ...καὶ,ἐάν περ...καὶ,15.117
ἔνθά κ᾽ ἔτι,τότε ἀν τις,15.121
ἐπεὶ,ἐπειδὴ,15.1
ἐπεὶ,ἐπειδὴ,15.181
ἐπεὶ οὐ,ἐπειδὴ οὐδαμῶς,15.11
ἦ,ἦ,15.18
ἢ,ἢ,15.82
ἢ,ἢ,15.177
ἦ,,15.203
ἢ...ἠὲ,ἢ...ἢ ,15.106
ἦ ἔτι,ὄντως ἔτι,15.105
ἦ μάλα δὴ,ὄντως δὴ λίαν,15.14 
ἦ μάλα δή,ὄντως ἀκριβῶς δή,15.91
ἠδέ,καὶ,15.160
ἠδὲ,καὶ,15.176
ἤδη γὰρ νῦν,ἀρτίως γὰρ νῦν,15.110
ἠμέν,καὶ,15.226
ἤν,ἐάν,15.32
ἦ νύ,ἢ,15.128
ἦ ῥ᾽,πῶς δὴ,15.185
ἤτοι,μὲν,15.190
ἵν',ἵνα,15.31
καὶ,καὶ,15.6
καὶ,καὶ,15.12
καὶ,καὶ,15.17
καὶ,καὶ,15.20
καὶ,καὶ,15.28
καὶ,καὶ,15.32
καί,καί,15.33
καί,καί,15.35
καὶ,καὶ,15.36
καὶ,καὶ,15.37
καὶ,καὶ,15.43
καί,καί,15.48
καὶ,καὶ,15.54
καὶ,καὶ,15.57
καὶ,καὶ,15.86
καὶ,καὶ,15.89  
καὶ,καὶ,15.93
καὶ,καὶ,15.94
καὶ,καὶ,15.118 
καὶ,καὶ,15.122
καὶ,καὶ,15.125
καὶ,καὶ,15.129
καὶ,καὶ,15.135
καὶ,καὶ,15.179
καὶ,καὶ,15.182
καὶ,καὶ,15.188
καὶ,καὶ,15.192
καὶ,καὶ,15.193
καὶ,,15.199
καὶ,,15.207
καὶ,,15.208
καὶ,,15.209
καὶ,,15.212
καὶ...περ,καίπερ,15.195
καὶ,καὶ,15.331
καὶ,δὲ,15.79
καί ῥ᾽,καὶ δὴ,15.119
καί...περ,καίπερ,15.30 
καὶ εἰ μάλα,καὶ ἐὰν λίαν,15.51
κε,ἂν,15.51
κ',ἂν,15.70
κεν,ἄν,15.109
κεν δὴ,δὴ ἂν,15.46
μάλα,λίαν,
μὲν δὴ,μὲν,15.3
μὲν,μὲν,15.7
μὲν,μὲν,15.56
μὲν,μὲν,15.87 
μὲν,μὲν,15.135
μὲν,,15.29
μὲν ἄρ' ὣς,μὲν δὴ οὕτως,15.100
μὲν οὐκ ἂν...ποτε,μὲν οὐδαμῶς ἂν,15.40
μέν τε,,15.203
μὴ,οὐκ,15.41
μή,μηδαμῶς,15.93
μὴ νῦν,μηδαμῶς...νῦν,15.115
νῦν,νῦν,15.36
ὁμῶς,ὁμοίως,15.98
ὁππότ'ἂν,,15.209
ὅς τ',ὅστις,15.80 
ὅτ',ὅτε,15.76
ὅτ',,15.207
ὅτε τ᾽,ὅτε,15.18
ὅττί κεν,ὅτι ἂν,15.109
οὔ,οὐδαμῶς,15.102
οὔδ,οὔδ,15.24
οὐδ᾽,οὐδὲ,15.107
οὐδ',οὐδαμῶς δὲ,15.78
οὐδὲ,οὐδαμῶς δὲ,15.102
οὐδέ τί,οὐχ'...δὲ,15.97 
οὐ μὰν,οὺδαμῶς δὲ,15.16
οὔτε,οὔτε,15.98
οὔτε,οὔτε,15.99
οὕτω,,15.201
ὄφρα,ἕως,15.318
ὄφρα,ὄπως,15.32
ὄφρ᾽,ὄπως,15.56
ὄφρ᾽ ἂν,ἕως ἂν,15.23 
πρίν γε,πρὶν ἢ,15.74
τε,τε,15.38
τε,τε,15.82
τε,καὶ,15.119
τέ,,15.130
τε...καὶ,τε...καὶ,15.1
τε...καὶ,καὶ,15.183
τε καὶ,καὶ,15.32
τε καὶ,καὶ,15.42
τε καὶ,καὶ,15.121
τε καὶ,,15.197
τε...τε,τε...καὶ,15.12
τε...τε,τε...καὶ,15.108
τε...τε,τὲ καὶ,15.47
τε...τε,καὶ...καὶ,15.119 
τε...τε,,15.202
θ᾽...καὶ,καὶ...καὶ,15.39
τ᾽...καὶ,τε...καὶ,15.55 
τίπτε,τί δή ποτε,15.90 
τόφρα,ἕως,15.319
τόφρα,τηνικαῦτα,15.540
τὼ,διὸ,15.109
τώ ῥα καὶ,διὸ δὴ,15.194
εἰσόκε,ἕως,15.70
ὡς,οὕτως,15.24
ὡς,οὕτως,15.34
ὥς,ὥσπερ,15.75
ὣς,οὕτως,15.78
ὡς,οὕτως,15.83
ὣς,οὕτως,15.113
ὣς,οὕτως,15.119
ὣς,οὕτως,15.172
ὣς,,15.196
ὡς,,15.204
ὡς δ' ὅτ' ἂν,ὥσπερ δὲ ὅταν,15.80
,καὶ,15.34
,τε,15.37
